HAUL
LONG
LONG
SHORT
SHORT
SHORT
SHORT
SHORT
LONG
SHORT
SHORT
SHORT
LONG
SHORT
LONG
SHORT
SHORT
LONG
SHORT
SHORT
SHORT
LONG
SHORT
LONG
LONG
SHORT
SHORT
SHORT
LONG
SHORT
SHORT
LONG
LONG
SHORT
LONG
SHORT
SHORT
LONG
LONG
LONG
SHORT
LONG
SHORT
LONG
SHORT
SHORT
LONG
SHORT
SHORT
SHORT
SHORT
SHORT
SHORT
LONG
LONG
SHORT
SHORT
LONG
SHORT
SHORT
SHORT
SHORT
LONG
LONG
SHORT
SHORT
LONG
SHORT
SHORT
LONG
SHORT
LONG
LONG
LONG
SHORT
LONG
SHORT
SHORT
SHORT
SHORT
LONG
SHORT
SHORT
LONG
LONG
LONG
SHORT
SHORT
SHORT
LONG
LONG
SHORT
LONG
SHORT
LONG
LONG
LONG
SHORT
SHORT
LONG
SHORT
LONG
SHORT
SHORT
LONG
SHORT
SHORT
SHORT
SHORT
LONG
SHORT
SHORT
SHORT
SHORT
SHORT
SHORT
SHORT
SHORT
LONG
LONG
LONG
LONG
SHORT
SHORT
LONG
LONG
SHORT
SHORT
SHORT
SHORT
SHORT
SHORT
SHORT
SHORT
SHORT
LONG
LONG
SHORT
LONG
LONG
LONG
LONG
SHORT
SHORT
SHORT
LONG
LONG
SHORT
SHORT
SHORT
SHORT
SHORT
SHORT
SHORT
LONG
SHORT
LONG
LONG
SHORT
SHORT
LONG
LONG
LONG
SHORT
SHORT
SHORT
LONG
LONG
SHORT
LONG
SHORT
SHORT
SHORT
LONG
SHORT
LONG
LONG
LONG
LONG
SHORT
SHORT
SHORT
SHORT
LONG
SHORT
SHORT
LONG
SHORT
LONG
LONG
LONG
LONG
LONG
SHORT
SHORT
SHORT
SHORT
SHORT
SHORT
SHORT
LONG
LONG
SHORT
LONG
LONG
SHORT
LONG
SHORT
LONG
SHORT
SHORT
SHORT
SHORT
SHORT
SHORT
SHORT
SHORT
SHORT
SHORT
LONG
LONG
LONG
SHORT
SHORT
LONG
LONG
SHORT
LONG
SHORT
SHORT
LONG
SHORT
LONG
LONG
SHORT
SHORT
LONG
SHORT
SHORT
SHORT
SHORT
SHORT
LONG
SHORT
SHORT
SHORT
SHORT
SHORT
SHORT
LONG
LONG
SHORT
LONG
SHORT
LONG
LONG
LONG
LONG
SHORT
LONG
SHORT
SHORT
LONG
LONG
SHORT
SHORT
LONG
SHORT
SHORT
LONG
SHORT
SHORT
SHORT
LONG
SHORT
LONG
LONG
SHORT
LONG
LONG
LONG
LONG
LONG
SHORT
SHORT
SHORT
LONG
LONG
SHORT
SHORT
SHORT
SHORT
LONG
LONG
LONG
LONG
LONG
LONG
LONG
SHORT
LONG
LONG
SHORT
LONG
SHORT
LONG
LONG
SHORT
SHORT
SHORT
SHORT
SHORT
SHORT
LONG
LONG
LONG
SHORT
LONG
SHORT
LONG
SHORT
SHORT
SHORT
SHORT
SHORT
LONG
SHORT
LONG
SHORT
SHORT
SHORT
LONG
LONG
SHORT
LONG
LONG
LONG
LONG
SHORT
LONG
SHORT
LONG
SHORT
SHORT
SHORT
SHORT
LONG
LONG
SHORT
SHORT
SHORT
LONG
LONG
LONG
SHORT
SHORT
SHORT
SHORT
SHORT
SHORT
SHORT
SHORT
SHORT
SHORT
SHORT
LONG
SHORT
LONG
SHORT
SHORT
SHORT
SHORT
SHORT
SHORT
LONG
SHORT
SHORT
LONG
SHORT
LONG
SHORT
SHORT
LONG
LONG
SHORT
LONG
LONG
LONG
LONG
LONG
SHORT
SHORT
LONG
LONG
SHORT
LONG
SHORT
SHORT
SHORT
SHORT
SHORT
SHORT
LONG
SHORT
SHORT
SHORT
SHORT
SHORT
SHORT
LONG
LONG
SHORT
SHORT
SHORT
SHORT
LONG
SHORT
